Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,VU2IU,145.800000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
2,VU2TWO,145.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
3,VU2ZOI,434.050000,+,3.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
4,VU2RQB,435.200000,+,2.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
6,VU2RFF,144.145000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
7,VU2TCD,145.125000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
9,VU2UDT,144.900000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
10,VU2NIW,145.425000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
12,APRS.2M,144.390000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,2.0W,,,,,
19,VFH_01,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
20,VFH_02,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
21,Simplex 03,435.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,1.00,,5.0W,,,,,
25,BLR-ATC,127.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,0.1W,,,,,
26,ATC Emer,121.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
27,VOBL_APP,121.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
28,VOBL_CTR,119.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
29,VOBL_DEL,121.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
30,VOBL_DEP,121.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
31,VOBL_GND,121.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
32,VOBL_TWR,124.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
33,VOBL_INC,127.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
34,VISG_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
35,VEAT_CTR,128.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
36,VEAT_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
37,VEAT_CTR,128.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
38,VOAT_TWR,122.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
39,VAAH_APP,119.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
40,VAAH_CTR,132.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
41,VAAH_GND,118.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
42,VAAH_TWR,119.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
43,VAAH_CTR,132.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
44,VEAZ_TWR,122.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
45,VEAB_CTR,121.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
46,VIXA_CTR,132.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
47,VIAR_APP,119.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
48,VIAR_TWR,124.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
49,VEBD_APP,131.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
50,VEBD_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
51,VIBL_TWR,119.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
52,VIBY_APP,128.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
53,VIBY_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
54,VEBR_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
72,VABV_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
74,VABP_APP,118.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
76,VABP_TWR,118.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
252,VEBS_APP,125.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
253,VEBS_TWR,118.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
254,VABJ_APP,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
255,VABJ_TWR,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
256,VOBR_TWR,125.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
258,,126.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,2.50,,0.1W,,,,,
